tool,refName,refLen,pufferfishK,lisaK,lisaLeafNodes,queryLen,threads,queryTime(ms),size(MB),NUM_IPBWT_BYTES,ipbwtSize(MB),rmiParamSize(MB),trainingDataSize(MB)
LISA,Chlamydia,1042519,,4,4194304,64,4,17.288999999999998,118.94223594665527,10,9.942235946655272,109.0,9.0
LISA,Chlamydia,1042519,,4,4194304,64,8,73.81400000000001,118.94223594665527,10,9.942235946655272,109.0,9.0
LISA,Chlamydia,1042519,,4,4194304,64,16,208.074,118.94223594665527,10,9.942235946655272,109.0,9.0
LISA,Chlamydia,1042519,,4,4194304,96,1,11.89,118.94223594665527,10,9.942235946655272,109.0,9.0
LISA,Chlamydia,1042519,,4,4194304,96,2,13.004,118.94223594665527,10,9.942235946655272,109.0,9.0
LISA,Chlamydia,1042519,,4,4194304,96,4,34.595,118.94223594665527,10,9.942235946655272,109.0,9.0
LISA,Chlamydia,1042519,,4,4194304,96,8,106.865,118.94223594665527,10,9.942235946655272,109.0,9.0
LISA,Chlamydia,1042519,,4,4194304,96,16,290.291,118.94223594665527,10,9.942235946655272,109.0,9.0
LISA,Chlamydia,1042519,,4,4194304,128,1,16.11,118.94223594665527,10,9.942235946655272,109.0,9.0
LISA,Chlamydia,1042519,,4,4194304,128,2,16.943,118.94223594665527,10,9.942235946655272,109.0,9.0
LISA,Chlamydia,1042519,,4,4194304,128,4,51.409000000000006,118.94223594665527,10,9.942235946655272,109.0,9.0
LISA,Chlamydia,1042519,,4,4194304,128,8,150.71200000000002,118.94223594665527,10,9.942235946655272,109.0,9.0
LISA,Chlamydia,1042519,,4,4194304,128,16,431.801,118.94223594665527,10,9.942235946655272,109.0,9.0
LISA,Chlamydia,1042519,,4,16777216,32,1,4.475,443.9422359466553,10,9.942235946655272,434.0,9.0
LISA,Chlamydia,1042519,,4,16777216,32,2,4.94,443.9422359466553,10,9.942235946655272,434.0,9.0
LISA,Chlamydia,1042519,,4,16777216,32,4,5.197,443.9422359466553,10,9.942235946655272,434.0,9.0
LISA,Chlamydia,1042519,,4,16777216,32,8,39.38,443.9422359466553,10,9.942235946655272,434.0,9.0
LISA,Chlamydia,1042519,,4,16777216,32,16,99.143,443.9422359466553,10,9.942235946655272,434.0,9.0
LISA,Chlamydia,1042519,,4,16777216,64,1,8.235,443.9422359466553,10,9.942235946655272,434.0,9.0
LISA,Chlamydia,1042519,,4,16777216,64,2,9.164,443.9422359466553,10,9.942235946655272,434.0,9.0
LISA,Chlamydia,1042519,,4,16777216,64,4,16.517,443.9422359466553,10,9.942235946655272,434.0,9.0
LISA,Chlamydia,1042519,,4,16777216,64,8,82.46199999999999,443.9422359466553,10,9.942235946655272,434.0,9.0
LISA,Chlamydia,1042519,,4,16777216,64,16,203.399,443.9422359466553,10,9.942235946655272,434.0,9.0
LISA,Chlamydia,1042519,,4,16777216,96,1,11.933,443.9422359466553,10,9.942235946655272,434.0,9.0
LISA,Chlamydia,1042519,,4,16777216,96,2,13.218,443.9422359466553,10,9.942235946655272,434.0,9.0
LISA,Chlamydia,1042519,,4,16777216,96,4,38.804,443.9422359466553,10,9.942235946655272,434.0,9.0
LISA,Chlamydia,1042519,,4,16777216,96,8,117.707,443.9422359466553,10,9.942235946655272,434.0,9.0
LISA,Chlamydia,1042519,,4,16777216,96,16,291.552,443.9422359466553,10,9.942235946655272,434.0,9.0
LISA,Chlamydia,1042519,,4,16777216,128,1,16.389,443.9422359466553,10,9.942235946655272,434.0,9.0
LISA,Chlamydia,1042519,,4,16777216,128,2,17.115,443.9422359466553,10,9.942235946655272,434.0,9.0
LISA,Chlamydia,1042519,,4,16777216,128,4,53.519,443.9422359466553,10,9.942235946655272,434.0,9.0
LISA,Chlamydia,1042519,,4,16777216,128,8,147.773,443.9422359466553,10,9.942235946655272,434.0,9.0
LISA,Chlamydia,1042519,,4,16777216,128,16,407.101,443.9422359466553,10,9.942235946655272,434.0,9.0
LISA,Chlamydia,1042519,,4,67108864,32,1,4.806,1750.7422359466552,10,9.942235946655272,1740.8,9.0
LISA,Chlamydia,1042519,,4,67108864,32,2,5.029999999999999,1750.7422359466552,10,9.942235946655272,1740.8,9.0
LISA,Chlamydia,1042519,,4,67108864,32,4,5.307,1750.7422359466552,10,9.942235946655272,1740.8,9.0
LISA,Chlamydia,1042519,,4,67108864,32,8,40.082,1750.7422359466552,10,9.942235946655272,1740.8,9.0
LISA,Chlamydia,1042519,,4,67108864,32,16,104.175,1750.7422359466552,10,9.942235946655272,1740.8,9.0
LISA,Chlamydia,1042519,,4,67108864,64,1,8.694,1750.7422359466552,10,9.942235946655272,1740.8,9.0
LISA,Chlamydia,1042519,,4,67108864,64,2,9.608,1750.7422359466552,10,9.942235946655272,1740.8,9.0
LISA,Chlamydia,1042519,,4,67108864,64,4,17.064,1750.7422359466552,10,9.942235946655272,1740.8,9.0
LISA,Chlamydia,1042519,,4,67108864,64,8,81.969,1750.7422359466552,10,9.942235946655272,1740.8,9.0
LISA,Chlamydia,1042519,,4,67108864,64,16,217.04,1750.7422359466552,10,9.942235946655272,1740.8,9.0
LISA,Chlamydia,1042519,,4,67108864,96,1,13.488,1750.7422359466552,10,9.942235946655272,1740.8,9.0
LISA,Chlamydia,1042519,,4,67108864,96,2,13.659,1750.7422359466552,10,9.942235946655272,1740.8,9.0
LISA,Chlamydia,1042519,,4,67108864,96,4,35.215,1750.7422359466552,10,9.942235946655272,1740.8,9.0
LISA,Chlamydia,1042519,,4,67108864,96,8,122.972,1750.7422359466552,10,9.942235946655272,1740.8,9.0
LISA,Chlamydia,1042519,,4,67108864,96,16,324.92,1750.7422359466552,10,9.942235946655272,1740.8,9.0
LISA,Chlamydia,1042519,,4,67108864,128,1,17.367,1750.7422359466552,10,9.942235946655272,1740.8,9.0
LISA,Chlamydia,1042519,,4,67108864,128,2,18.603,1750.7422359466552,10,9.942235946655272,1740.8,9.0
LISA,Chlamydia,1042519,,4,67108864,128,4,50.484,1750.7422359466552,10,9.942235946655272,1740.8,9.0
LISA,Chlamydia,1042519,,4,67108864,128,8,160.969,1750.7422359466552,10,9.942235946655272,1740.8,9.0
LISA,Chlamydia,1042519,,4,67108864,128,16,427.177,1750.7422359466552,10,9.942235946655272,1740.8,9.0
LISA,Chlamydia,1042519,,8,256,32,1,6.9030000000000005,9.989110946655272,10,9.942235946655272,0.046875,9.0
LISA,Chlamydia,1042519,,8,256,32,2,7.313,9.989110946655272,10,9.942235946655272,0.046875,9.0
LISA,Chlamydia,1042519,,8,256,32,4,6.630999999999999,9.989110946655272,10,9.942235946655272,0.046875,9.0
LISA,Chlamydia,1042519,,8,256,32,8,48.137,9.989110946655272,10,9.942235946655272,0.046875,9.0
LISA,Chlamydia,1042519,,8,256,32,16,111.805,9.989110946655272,10,9.942235946655272,0.046875,9.0
LISA,Chlamydia,1042519,,8,256,64,1,13.375,9.989110946655272,10,9.942235946655272,0.046875,9.0
LISA,Chlamydia,1042519,,8,256,64,2,13.667,9.989110946655272,10,9.942235946655272,0.046875,9.0
LISA,Chlamydia,1042519,,8,256,64,4,33.345,9.989110946655272,10,9.942235946655272,0.046875,9.0
LISA,Chlamydia,1042519,,8,256,64,8,98.468,9.989110946655272,10,9.942235946655272,0.046875,9.0
LISA,Chlamydia,1042519,,8,256,64,16,226.185,9.989110946655272,10,9.942235946655272,0.046875,9.0
LISA,Chlamydia,1042519,,8,256,96,1,20.002,9.989110946655272,10,9.942235946655272,0.046875,9.0
LISA,Chlamydia,1042519,,8,256,96,2,20.23,9.989110946655272,10,9.942235946655272,0.046875,9.0
LISA,Chlamydia,1042519,,8,256,96,4,60.994,9.989110946655272,10,9.942235946655272,0.046875,9.0
LISA,Chlamydia,1042519,,8,256,96,8,143.988,9.989110946655272,10,9.942235946655272,0.046875,9.0
LISA,Chlamydia,1042519,,8,256,96,16,361.946,9.989110946655272,10,9.942235946655272,0.046875,9.0
LISA,Chlamydia,1042519,,8,256,128,1,26.925,9.989110946655272,10,9.942235946655272,0.046875,9.0
LISA,Chlamydia,1042519,,8,256,128,2,26.769,9.989110946655272,10,9.942235946655272,0.046875,9.0
LISA,Chlamydia,1042519,,8,256,128,4,83.395,9.989110946655272,10,9.942235946655272,0.046875,9.0
LISA,Chlamydia,1042519,,8,256,128,8,192.274,9.989110946655272,10,9.942235946655272,0.046875,9.0
LISA,Chlamydia,1042519,,8,256,128,16,516.832,9.989110946655272,10,9.942235946655272,0.046875,9.0
LISA,Chlamydia,1042519,,8,1024,32,1,5.777,10.059423446655272,10,9.942235946655272,0.1171875,9.0
LISA,Chlamydia,1042519,,8,1024,32,2,5.7,10.059423446655272,10,9.942235946655272,0.1171875,9.0
LISA,Chlamydia,1042519,,8,1024,32,4,5.505999999999999,10.059423446655272,10,9.942235946655272,0.1171875,9.0
LISA,Chlamydia,1042519,,8,1024,32,8,48.078,10.059423446655272,10,9.942235946655272,0.1171875,9.0
LISA,Chlamydia,1042519,,8,1024,32,16,92.23,10.059423446655272,10,9.942235946655272,0.1171875,9.0
LISA,Chlamydia,1042519,,8,1024,64,1,11.844,10.059423446655272,10,9.942235946655272,0.1171875,9.0
LISA,Chlamydia,1042519,,8,1024,64,2,11.46,10.059423446655272,10,9.942235946655272,0.1171875,9.0
LISA,Chlamydia,1042519,,8,1024,64,4,23.711,10.059423446655272,10,9.942235946655272,0.1171875,9.0
LISA,Chlamydia,1042519,,8,1024,64,8,84.221,10.059423446655272,10,9.942235946655272,0.1171875,9.0
LISA,Chlamydia,1042519,,8,1024,64,16,189.789,10.059423446655272,10,9.942235946655272,0.1171875,9.0
LISA,Chlamydia,1042519,,8,1024,96,1,17.12,10.059423446655272,10,9.942235946655272,0.1171875,9.0
LISA,Chlamydia,1042519,,8,1024,96,2,17.0,10.059423446655272,10,9.942235946655272,0.1171875,9.0
LISA,Chlamydia,1042519,,8,1024,96,4,47.024,10.059423446655272,10,9.942235946655272,0.1171875,9.0
LISA,Chlamydia,1042519,,8,1024,96,8,140.035,10.059423446655272,10,9.942235946655272,0.1171875,9.0
LISA,Chlamydia,1042519,,8,1024,96,16,283.605,10.059423446655272,10,9.942235946655272,0.1171875,9.0
LISA,Chlamydia,1042519,,8,1024,128,1,24.803,10.059423446655272,10,9.942235946655272,0.1171875,9.0
LISA,Chlamydia,1042519,,8,1024,128,2,23.734,10.059423446655272,10,9.942235946655272,0.1171875,9.0
LISA,Chlamydia,1042519,,8,1024,128,4,65.728,10.059423446655272,10,9.942235946655272,0.1171875,9.0
LISA,Chlamydia,1042519,,8,1024,128,8,182.706,10.059423446655272,10,9.942235946655272,0.1171875,9.0
LISA,Chlamydia,1042519,,8,1024,128,16,414.608,10.059423446655272,10,9.942235946655272,0.1171875,9.0
LISA,Chlamydia,1042519,,8,4096,32,1,5.083,10.270360946655272,10,9.942235946655272,0.328125,9.0
LISA,Chlamydia,1042519,,8,4096,32,2,4.9750000000000005,10.270360946655272,10,9.942235946655272,0.328125,9.0
